序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
176,000001,平安银行,年报点评：零售业务高歌猛进，资产质量已得到市场认可,买入,群益证券,1,,,,,,,银行Ⅱ,2019-03-08,https://pdf.dfcfw.com/pdf/H3_AP201903081304112431_1.pdf
177,000001,平安银行,业绩快报点评报告：存量资产质量持续改善,增持,万联证券,1,,,,,,,银行Ⅱ,2019-01-09,https://pdf.dfcfw.com/pdf/H3_AP201901091283541420_1.pdf
178,000001,平安银行,平安银行：终将脱颖而出，强烈推荐,买入,太平洋,1,,,,,,,银行Ⅱ,2019-01-04,https://pdf.dfcfw.com/pdf/H3_AP201901041282292097_1.pdf
179,000001,平安银行,业绩改善符合预期，依托科技平台打造先进银行,买入,西南证券,1,,,,,,,银行Ⅱ,2018-10-26,https://pdf.dfcfw.com/pdf/H3_AP201810261222393259_1.pdf
180,000001,平安银行,点评报告：零售贷款保持快速增长,增持,万联证券,1,,,,,,,银行Ⅱ,2018-10-24,https://pdf.dfcfw.com/pdf/H3_AP201810241220451225_1.pdf
181,000001,平安银行,三季报点评：转型零售成果显著，资产质量表现平稳,买入,群益证券,1,,,,,,,银行Ⅱ,2018-10-24,https://pdf.dfcfw.com/pdf/H3_AP201810241220391312_1.pdf
182,000001,平安银行,平安银行：业绩小幅改善，投资收益大幅增长是主因,买入,太平洋,1,,,,,,,银行Ⅱ,2018-10-24,https://pdf.dfcfw.com/pdf/H3_AP201810241220280787_1.pdf
183,000001,平安银行,零售转型带动息差回升，资产质量趋势值得关注,增持,东吴证券,1,,,,,,,银行Ⅱ,2018-10-24,https://pdf.dfcfw.com/pdf/H3_AP201810241220125856_1.pdf
184,000001,平安银行,借势转型聚焦零售，乘风而起修复估值,买入,西南证券,1,,,,,,,银行Ⅱ,2018-09-07,https://pdf.dfcfw.com/pdf/H3_AP201809071190994648_1.pdf
185,000001,平安银行,半年报点评：速度与质量并重，业绩持续释放,买入,中航证券,1,,,,,,,银行Ⅱ,2018-08-27,https://pdf.dfcfw.com/pdf/H3_AP201808271183439553_1.pdf
186,000001,平安银行,平安银行18年中报业绩点评：零售贷款增速亮眼，资产质量风险可控,增持,民生证券,1,,,,,,,银行Ⅱ,2018-08-16,https://pdf.dfcfw.com/pdf/H3_AP201808161179767568_1.pdf
187,000001,平安银行,半年报点评：非息收入增长强劲，零售不断突破，资产质量平稳,买入,群益证券,1,,,,,,,银行Ⅱ,2018-08-16,https://pdf.dfcfw.com/pdf/H3_AP201808161179537192_1.pdf
188,000001,平安银行,平安银行：手续费增速提升拉动业绩增长，资产质量优于同业平均水平,买入,太平洋,1,,,,,,,银行Ⅱ,2018-08-16,https://pdf.dfcfw.com/pdf/H3_AP201808161179514379_1.pdf
189,000001,平安银行,2018年中报点评：信用卡业务继续放量 成本收入比上升,增持,万联证券,1,,,,,,,银行Ⅱ,2018-08-16,https://pdf.dfcfw.com/pdf/H3_AP201808161179507951_1.pdf
190,000001,平安银行,零售业务稳步发展，带动中收改善,增持,东吴证券,1,,,,,,,银行Ⅱ,2018-08-16,https://pdf.dfcfw.com/pdf/H3_AP201808161179394519_1.pdf
